Name,Country
360 VOX Corporation,Canada
3MV Energy Corp,Canada
49 North Resources Inc,Canada
88 Capital Corp,Canada
Abacus Mining & Exploration Corporation,Canada
Abcana Capital Inc,Canada
Abcourt Mines Inc.,Canada
ABE Resources Inc.,Canada
Aben Resources Ltd,Canada
Abenteuer Resources Corp.,Canada
Abington Resources Ltd,Canada
Abitibi Mining Corp.,Canada
Abitibi Royalties Inc,Canada
Abzu Gold Ltd,Canada
Acasti Pharma Inc.,Canada
Acceleware Ltd,Canada
Access International Education Ltd.,Canada
Ackroo Inc.,Canada
Acme Resources Inc,Canada
Acrex Ventures Ltd.,Canada
ACT Aurora Control Technologies Corp,Canada
ACT360 Solutions Ltd.,Canada
Active Control Technology Inc.,Canada
Active Growth Capital Inc,Canada
Actus Minerals Corp,Canada
Adamera Minerals Corp.,Canada
Adanac Molybdenum Corporation,Canada
Adent Capital Corp.,Canada
Adex Mining Inc,Canada
Adira Energy Ltd,Other
Adriana Resources Inc.,Canada
Adroit Resources Inc.,Canada
Advance Gold Corp,Canada
Advanced Explorations Inc.,Canada
Advanced Proteome Therapeutics Corporation,USA
Advent Wireless Inc.,Canada
Adventure Gold Inc,Canada
Aegean Metals Group Inc.,Canada
Africa Hydrocarbons Inc,Canada
Africa Oil Corp,Canada
"African Gold Group, Inc.",Canada
Afri-Can Marine Minerals Corporation,Canada
African Metals Corporation,Canada
African Queen Mines Ltd,Canada
Agave Silver Corp.,Canada
"Agility Health, Inc.",USA
AgriMarine Holdings Inc,Canada
AgriMinco Corp.,Canada
"Agritec Systems, Inc.",USA
Aguila American Gold Limited,Canada
Aim Explorations Ltd,Canada
AirIQ Inc.,Canada
Alaska Hydro Corporation,USA
Alberta Oilsands Inc,Canada
Alberta Star Development Corp.,Canada
Alchemist Mining Inc.,Canada
Alder Resources Ltd.,Canada
Aldershot Resources Ltd.,Canada
Aldridge Minerals Inc.,Canada
Aldrin Resource Corp,Canada
Alexander Energy Ltd,Canada
Alexander Nubia International Inc,Canada
Alexandra Capital Corp,Canada
Alexandria Minerals Corporation,Canada
Algae Biosciences Corporation,USA
Algold Resources Ltd.,Canada
Alhambra Resources Ltd.,Canada
Alita Resources Ltd,Canada
Alix Resources Corp,Canada
All in West! Capital Corporation,Canada
Allegiance Equity Corporation,Canada
Alliance Mining Corp,Canada
Allied Hotel Properties Inc.,Canada
Almo Capital Corp.,Canada
Almonty Industries Inc,USA
Alpha Exploration Inc.,Canada
Alpha Peak Leisure Inc.,Canada
Alphamin Resources Corp,Canada
Alphinat Inc.,Canada
ALQ Gold Corp.,Canada
Alston Energy Inc,Canada
Alta Natural Herbs & Supplements Ltd.,Canada
Alta Vista Ventures Ltd.,Canada
Altai Resources Inc.,Canada
Altair Gold Inc,Canada
Altan Nevada Minerals Limited,Canada
Altan Rio Minerals Limited,Canada
Alternative Earth Resources Inc.,Canada
Altima Resources Ltd.,Canada
Altiplano Minerals Ltd,Canada
Altitude Resources Inc.,Canada
Alto Ventures Ltd.,Canada
Alturas Minerals Corp.,Mexico and Central/South America
Alvopetro Energy Ltd.,Canada
AM Gold Inc,Canada
Amador Gold Corp.,Canada
Amanta Resources Ltd.,Canada
Amarc Resources Ltd.,Canada
Amarillo Gold Corporation,Canada
Amarok Energy Inc,Canada
Amato Exploration Ltd,Canada
American Consolidated Minerals Corp,Canada
American Creek Resources Ltd,Canada
American CuMo Mining Corporation,Canada
American Manganese Inc,Canada
American Natural Energy Corp.,USA
American Vanadium Corp,Canada
Americas Petrogas Inc,Canada
Amerix Precious Metals Corporation,Canada
Amex Exploration Inc.,Canada
AMG Bioenergy Resources Holdings Ltd,China/Asia
AMI Resources Inc.,Canada
Amseco Exploration Ltd,Canada
AnalytixInsight Inc.,Canada
Anconia Resources Corp,Canada
AndeanGold Ltd,USA
Andover Mining Corp,Canada
Anfield Nickel Corp,Canada
Anfield Resources Inc.,Canada
Angel Gold Corp.,Canada
Angkor Gold Corp,Canada
Anglo Swiss Resources Inc.,Canada
Anglo-Bomarc Mines Ltd. (N.P.L.),Canada
Anglo-Canadian Mining Corp,Canada
Angus Mining Inc,Canada
Animas Resources Ltd,Canada
Annidis Corporation,Canada
Ansell Capital Corp,Canada
Anterra Energy Inc,Canada
Anthem Resources Inc,Canada
Anthony Clark International Insurance Brokers Ltd.,Canada
Antibe Therapeutics Inc.,Canada
Antioquia Gold Inc,Canada
Apogee Silver Ltd,Canada
Appalaches Resources Inc.,Canada
Appulse Corporation,Canada
AQM Copper Inc,Mexico and Central/South America
Aqua-Pure Ventures Inc.,Canada
Aquarius Coatings Inc.,Canada
Arcan Resources Ltd.,Canada
Archean Star Resources Inc.,Canada
Archer Petroleum Corp,Canada
Archon Minerals Limited,Canada
Arco Resources Corp,Canada
Arctic Hunter Energy Inc,Canada
Arctic Star Exploration Corp,Canada
Arcturus Ventures Inc.,Canada
Arcus Development Group Inc,Canada
Ardonblue Ventures Inc.,Canada
Arena Minerals Inc.,Canada
Argentex Mining Corporation,Canada
Argentum Silver Corp,Canada
Argonaut Exploration Inc,Canada
Argus Metals Corp,Canada
Arian Resources Corp.,Canada
Arian Silver Corporation,UK/Europe
Arianne Phosphate Inc.,Canada
Arkadia Capital Corp,Canada
