Company,Country
GEODYNE ENERGY INCOME LTD PARTNERSHIP I D,US
BELUGA COMPOSITES CORP,US
ENERGAS RESOURCES INC,US
CLIFFS DRILLING CO,US
COLUMBUS ENERGY CORP,US
GEODYNE INSTITUTIONAL PENSION ENERGY INCOME LTD PART P 6,US
FORSTER DRILLING CORP,US
KODIAK ENERGY INC,US
GOTHIC ENERGY LLC,US
Adira Energy Ltd,NULL
MAG WELL INC,US
Energy XXI Gulf Coast Inc,US
Energy XXI Onshore LLC,US
Energy XXI Texas Onshore LLC,US
Energy XXI GOM LLC,US
WESTLAND RESOURCES CORP,US
HOUSTON AMERICAN ENERGY CORP,US
SILVER STAR ENERGY INC,US
CREDO PETROLEUM CORP,US
CIRCLE STAR ENERGY CORP,US
SIMON ROBERT J II,US
NEXEN INC,CA
GREAT LAKES ACQUISITION CORP,US
BIOSTEM U.S. CORP,US
ALGAE FARM (USA) INC,US
GEODYNE ENERGY INCOME LTD PARTNERSHIP III G,US
SOUTH SHORE RESOURCES INC,US
New Source Energy Partners LP,US
Wizard World Inc,US
Titan Oil & Gas Inc,US
WESCORP ENERGY INC,US
LILIS ENERGY INC,US
Lone Pine Resources Inc,US
PROVIDENT ENERGY LTD,CA
WORLD FUEL SERVICES CORP,US
Clean Coal Technologies Inc,US
VERMILION ENERGY INC,CA
Treaty Energy Corp,US
Rangeford Resources Inc,US
SandRidge Permian Trust,US
GEO PETROLEUM INC,US
TEKOIL & GAS CORP,US
RADIANT OIL & GAS INC,US
TagLikeMe Corp,US
INTELLIREADY INC,US
SAVANNA EAST AFRICA INC,US
Verdant Technology CORP,US
Northern Tier Energy LP,US
AEGEAN MARINE PETROLEUM NETWORK INC,MH
PetroHunter Energy Corp,US
Infinity Oil & Gas Co,US
SHANNON INTERNATIONAL INC,US
ICON Oil & Gas Fund A LP,US
EXCO Partners LP,US
MarkWest Energy Finance CORP,US
Willbros Group Inc,US
FORELAND CORP,US
Legend Oil & Gas Ltd,US
Steel Excel Inc,US
OPEN ENERGY CORP,US
1115650 ALBERTA LTD,CA
HIKO BELL MINING & OIL CO,US
VARCO INTERNATIONAL INC,US
Complete Production Services Inc,US
CANADIAN 88 ENERGY CORP,CA
GEOGLOBAL RESOURCES INC,US
CAPCO ENERGY INC,US
Bronco Drilling Co Inc,US
FIDELIS ENERGY INC,US
QUEST OIL CORP,US
JX Holdings Inc,JP
Alamo Energy Corp,US
DIXON STEVEN C,US
LESTER J MARK,US
HOOD HENRY J,US
BURGER MARTHA A,US
Mewbourne Energy Partners 10 A LP,US
GOTHIC PRODUCTION LLC,US
MEWBOURNE ENERGY PARTNERS 05 A LP,US
ENTERPRISE PRODUCTS PARTNERS L P,US
CHELSEA OIL & GAS LTD,CA
HALCON RESOURCES CORP,US
Sprague Resources LP,US
AVOCA INC,US
NEWPARK RESOURCES INC,US
MAINLAND RESOURCES INC,US
ADVANCED SEISMIC TECHNOLOGY INC,US
O A O TATNEFT,NULL
UNIT DRILLING & EXPLORATION CO,US
Carbon Natural Gas Co,US
Laredo Petroleum Inc,US
WESTPORT RESOURCES CORP,US
XTO ENERGY INC,US
EAGLE ROCK ENERGY PARTNERS L P,US
Fresh Traffic Group Inc,US
OCEAN ENERGY INC,US
AMERICAN ENERGY GROUP LTD,US
TRI VALLEY CORP,US
